"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1980","","","","223832"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1981","","","","224770"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1982","","","","209326"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1986","","","","222575"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1987","","","","246982"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1988","","","","281178"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1984","","","","212395"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1985","","","","200946"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1983","","","","203828"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1997","","","","472873"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1990","","","","315559"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1992","","","","352930"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1989","","","","292825"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1991","","","","326274"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1993","B","Break in series","","338742"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1994","B","Break in series","","390017"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1995","","","","452685"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","1996","","","","477955"
