"","Year","Transação","Value"
"1",2012,"World",NA
"2",2013,"World",-0.000951832797347785
"3",2014,"World",-0.0850237330968426
"4",2015,"World",-0.132347320159868
"5",2016,"World",-0.0415407318640576
"6",2017,"World",0.199455785104307
"7",2018,"World",0.067110646147398
"8",2019,"World",-0.0657140392143476
"9",2020,"World",-0.0771615503101563
"10",2021,"World",-0.254515987623694
"11",2012,"Brazil",NA
"12",2013,"Brazil",0.0240059849897492
"13",2014,"Brazil",0.00818383604223238
"14",2015,"Brazil",-0.122983128191046
"15",2016,"Brazil",-0.0282043190056469
"16",2017,"Brazil",0.110006916076921
"17",2018,"Brazil",0.0996574268554196
"18",2019,"Brazil",-0.0260392128469734
"19",2020,"Brazil",-0.06940874140604
"20",2021,"Brazil",-0.41801889327032
